year_CPS,Characteristic,OppShare_New_Entrp,Breakdown,Rate_New_Entrp,Location,startup_index,Index Year,year_BDS,startup_density,Rank,Composition_of_New_Entrp,norm_rate,norm_opp,norm_density,z_rate,z_oppshare,z_startup_den,rank_last_y,rank_diff,index_last_y,index_diff,dataset,Location_name,Category,OppShare_New_Entrp_web,Rate_New_Entrp_web,location_category,index_diff_text
1996,Less than High School,,Education,0.003934683,0,,1996,,,,0.171599999,,,,,,,,,,,national_demog,United States,National,,393.4682922,the,.
1998,Ages 35-44,0.79575,Age,0.003054232,0,,1998,,,,0.297899991,,,,,,,,,,,national_demog,United States,National,7.957499981,305.4231873,the,.
2011,White,0.76008,Race,0.002935824,0,,2011,,,,0.602100015,,,,,,,,,,,national_demog,United States,National,7.600800037,293.5823975,the,.
2011,Other,,Race,,0,,2011,,,,0.024800001,,,,,,,,,,,national_demog,United States,National,,,the,.
2011,Latino,0.67777,Race,0.005152934,0,,2011,,,,0.229100004,,,,,,,,,,,national_demog,United States,National,6.777699947,515.293396,the,.
2011,Black,0.68518,Race,0.002329175,0,,2011,,,,0.091300003,,,,,,,,,,,national_demog,United States,National,6.851799965,232.9174957,the,.
2002,High School Graduate,0.82485,Education,0.002855025,0,,2002,,,,0.306400001,,,,,,,,,,,national_demog,United States,National,8.24849987,285.5025024,the,.
2002,Less than High School,0.79304,Education,0.003456911,0,,2002,,,,0.146200001,,,,,,,,,,,national_demog,United States,National,7.930399895,345.6911011,the,.
,,,,,0,,1992,1992,105.8099976,,,,,,,,0.962866485,,,,,National_Profile,United States,National,,,the,.
2011,High School Graduate,0.71689,Education,0.003337694,0,,2011,,,,0.289600015,,,,,,,,,,,national_demog,United States,National,7.168900013,333.7694092,the,.
2008,High School Graduate,0.78831,Education,0.003484468,0,,2008,,,,0.311699986,,,,,,,,,,,national_demog,United States,National,7.883100033,348.4468079,the,.
2008,White,0.81188,Race,0.003059967,0,,2008,,,,0.643000007,,,,,,,,,,,national_demog,United States,National,8.118800163,305.9967041,the,.
